node,address,is_infra,chain_id,year,month,in_degree,out_degree,in_transfer_count,out_transfer_count,total_input_amount,total_output_amount,balance_proxy,self_loop_count,two_node_loop_count,two_node_loop_amount,two_node_loop_tx_count,triangle_loop_count,triangle_loop_amount,triangle_loop_tx_count,egonet_node_count,egonet_edge_count,egonet_density,H1_flag,H1_description,H2_flag,H2_description,H3_flag,H3_description,H4_flag,H4_description,H5_flag,H5_description,H6_flag,H6_description,mahalanobis_distance,iforest_score,rule_score_raw,rule_score_100,mahalanobis_distance_stats_score_100,iforest_stats_score_100,final_score_0_100,final_score_top_percent,final_score_top_percent_display
63,0xe66b31678d6c16e9ebf358268a790b763c133750,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0x3bc77fc3129827864b88b5859f9c3737f57a13ca,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.0500581381077476e+16,-10500581381077475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.471436229729817,-0.014152707241434637,0.0,0.0,35.16129,64.83871,33.333332,45.16,45.16%
65,0x0bcf6ec45d7f86a1ba52ff29dc856eca913349eb,0,1,2023,1,1.0,0.0,1.0,0.0,1.0500581381077476e+16,0.0,10500581381077475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.416193285796784,-0.015042481219831816,0.0,0.0,23.548388,62.258064,28.60215,53.55,53.55%
66,0x3cd751e6b0078be393132286c442345e5dc49699,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0x57afad8d54dec8d995c9e48a3c1b5f6393d1125e,0,1,2023,1,1.0,0.0,1.0,0.0,1.5e+18,0.0,1500000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.9217109542976263,-0.002852966246651767,0.0,0.0,86.129036,81.6129,55.913982,16.13,16.13%
68,0x4249940c339bc3a1ac5e886697b030deb2f9ec6c,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.595898168049316e+17,-159589816804931591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3331919758104924,-0.024921680002964686,0.0,0.0,11.290322,22.258064,11.182796,87.74,87.74%
69,0x44e94034afce2dd3cd5eb62528f239686fc8f162,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0x3ed9707718a0a41464c905aed5fbc5a067236c0e,0,1,2023,1,1.0,0.0,1.0,0.0,1e+17,0.0,100000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5297078112231466,-0.021724618782236083,0.0,0.0,50.64516,45.48387,32.04301,48.06,48.06%
71,0x456a713a786aab801a762ffcf87f12044fa00b76,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,2.5024767394658848e+17,-250247673946588470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3947254948529286,-0.024998233970330075,0.0,0.0,17.741936,19.67742,12.473119,85.81,85.81%
72,0x4ba86ca2797691d1af5af268c92f63c1df5bf366,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,4.9655032251413e+16,-49655032251413000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.5755235000505339,-0.025206212585430432,0.0,0.0,59.677418,15.806452,25.161291,61.94,61.94%
73,0xcbd6832ebc203e49e2b771897067fce3c58575ac,1,1,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0x4e32b054c412ebe4b5de70857d260dbb17405aba,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,1.2583871296457338e+17,-125838712964573386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.3245972148879537,-0.026013339561724025,0.0,0.0,10.0,10.0,6.6666665,96.13,96.13%
75,0x4e5fbf34d37d2caaa5bde1b2cde181190d55b4d4,0,1,2023,1,0.0,1.0,0.0,1.0,0.0,8.352348702393823e+17,-835234870239382346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.4377468814898804,-0.019550490599588854,0.0,0.0,30.0,51.29032,27.096773,57.42,57.42%
